PC1,PC2,cluster
-2.9298569312275817,0.11177415661501484,0
-2.6219014302851975,-2.0162455631013505,0
-2.4421025957322207,-3.7258933531951004,0
-2.4377962715804466,-0.7100075883003196,0
-1.8528141859309752,-2.1844702641665523,0
-2.6635968764226443,-0.48957529992546245,0
-2.8641875201148457,-0.3541934680140411,0
-2.548181813658005,-0.6733582235931699,0
-2.3888766618238275,-3.3190625632102826,0
-2.4593290632649474,-2.0465093810149435,0
-2.1865871624522275,-1.0795324179729877,0
-2.806364976186598,0.7526087875222177,0
-2.5141646673793994,-1.9382464550013832,0
-2.3995870665792878,0.6579557150301659,0
-2.431525065943005,-2.4538374853406753,0
-2.3184245209511536,-1.588792355367482,0
-2.493091326539351,0.6074307798509577,0
-2.245663574954793,-0.8003246019034305,0
-2.115257517806721,-1.3699898729037263,0
-2.0369809430399055,-1.7004685486766713,0
-2.067333605158623,-1.6439433473874523,0
-2.935939616193469,-0.509650649017811,0
-2.6956903879743104,-0.8415218184743881,0
-1.8228306262781198,-2.6667741110272947,0
-1.8232159463733528,-2.7170862037954393,0
-2.8231174273734956,-0.9939381906341735,0
-2.6925576292170774,-0.16634767379001136,0
-2.263428692379271,-0.9377158635004761,0
-2.636068256576488,-2.394306897428456,0
-2.8411102304214375,-0.9413463856133023,0
-2.76931638957331,-0.9341746649696248,0
-2.7593733297807908,-0.9403323259181409,0
-2.7231180705676787,-1.5275712533311794,0
-2.784400004677229,-1.2899826160786398,0
-2.8695596904499707,-1.2485663568272654,0
-2.547352299398749,-2.1468804217666455,0
-2.6413384822235284,-1.9715692835262388,0
-2.31260264149018,-0.8409473266581167,0
-2.6291464891623453,-1.803318437880066,0
-2.28156460193717,0.3390138997293823,0
-2.226878954636591,0.022970155422443923,0
-2.2593134431043116,0.27618168080228467,0
-2.722896925836261,-1.3477276316792743,0
-2.4096453668777587,-3.37589790728637,0
-2.0472501132883756,-1.670871729533776,0
-2.449378247087428,-1.0073760948117978,0
-2.21528541674768,-0.8578431917203799,0
-2.031953692503248,-1.6413930934627963,0
-2.501986487653541,-1.9289071252895957,0
-1.928136642823575,-2.311821952039551,0
-2.262473791740788,-2.448036427375601,0
-3.0804226554275025,1.2105554355350632,0
-2.4294509799435273,0.5129761999593744,0
-2.7731431497195125,-0.829249471493534,0
-2.636355940415657,-2.0944494981863957,0
-2.112911395041991,-0.831453990692835,0
-1.7991962531589434,-1.9779801398750776,0
-2.1644282500478336,-1.1402725657881205,0
-2.1452359712597255,-1.121773904906615,0
-2.186746394588591,-1.108647712526641,0
-2.331482151619585,0.4287881179485492,0
-2.366197751584611,-1.2849736540727326,0
-2.5701781131262473,-0.1428662988075994,0
-2.6357511804365372,0.13011983522041579,0
-1.6195337907053986,-1.3330103655529977,0
-2.804883593467559,0.8833686617089237,0
-2.731537432645252,1.3909768107599152,0
-2.122669116835765,-1.1129890485430431,0
-2.167366537921363,-0.8858932122455556,0
-2.9180586204641488,-0.1494952330031423,0
-2.778021930930147,-1.3075212314197733,0
-2.121348518909558,-0.7740525993529485,0
-2.037057626103397,-1.0687903954816156,0
-2.165367331762366,-0.5146701107995932,0
-1.9558502591398519,-1.6118606756237666,0
-2.455094383800021,-1.5181586474072362,0
-2.6575901562482778,-0.9761579972600155,0
-2.9969836338285996,0.22969494571807048,0
-2.6355880689572193,-1.483321654030253,0
-2.7244583295440155,-0.9517128740331194,0
-2.7351750340898864,-0.9224847997548007,0
-2.7476418660121342,-1.3037813527526037,0
-2.871064963555968,0.28275612383622967,0
-1.9786807078476938,0.11698178002057354,0
-2.564771096872959,-1.9876793121115004,0
-2.7066182184555965,-0.271550950666309,0
-2.6843165873346675,0.02100881601060331,0
-2.6164096747399848,-0.2773790941353088,0
-2.5442270449556315,-0.20048106795778672,0
-1.9909959635861925,-0.7480647406153464,0
0.006709202985569375,0.5157324577363973,1
1.143589403020765,-4.225875094755,1
-0.04701142510454513,1.071356020445847,0
0.07619426957116887,-0.4351431923230438,1
0.49688151579161255,-0.4266637755854015,1
0.22296143875804184,-1.4800113646470308,1
0.40399806446540604,-2.275770678453585,1
1.2027279977378498,-3.27687833020575,1
0.3417891633329041,-1.2495483947740447,1
0.5020054260114885,-0.2690800172777154,1
0.09941575578298868,-0.3862132091117195,1
-0.017220409462477347,0.6997764615051743,0
0.07314026199158571,1.1450951394132987,1
0.24212807430698968,-0.09031759537702264,1
0.12212876420545371,1.394868048294586,1
0.08876284491134775,1.1653190919238356,1
0.47005547498694356,-0.5477045444427309,1
-0.13148146158963195,1.8886637548082377,0
0.33041941709063627,0.1791627697426891,1
-0.6101467555175943,1.7468607258949693,0
0.31371411848848907,0.2818846788260874,1
0.10786206723827663,0.572329309626405,1
0.5947928396000243,0.02089141699960493,1
0.5117817026571413,-1.128964985907952,1
-0.07623403468249326,1.0508908605745306,0
-0.26170020934456384,1.9382592676987949,0
0.4725367635295741,-0.5658310146920498,1
-0.13709153430635307,1.6886124177280057,0
-0.064853541197815,0.3636682696517334,0
0.4406559013346558,-0.3457608919770629,1
-0.018956931922627096,0.5353796312016512,1
-0.14405565220951486,1.3665645055117204,0
0.48383397984468657,-2.0938816123735844,1
0.31805398224823683,-1.4482186178696201,1
0.22744249612687872,-0.8313048594484166,1
0.19718257667220582,-0.6954277848962982,1
0.42647962503520137,0.261388409833708,1
-0.34022312628986506,-0.13275147293203182,0
0.9941612854455183,-1.821067930650992,1
1.1658326476772811,-2.6247304066434736,1
0.1287350391659089,1.1144595990042652,1
0.18343591891013805,-0.9294944028809617,1
0.042302432474158,-0.13448179565036814,1
0.2409789423340326,-1.2756543216977276,1
0.4515368140819018,-0.9935464920832913,1
-0.2846007024851664,-0.11812972686194706,0
0.33220563799621744,-1.6767423023489127,1
0.05915630444472031,-0.19948295885517994,1
0.3090724784068006,0.5944332880021311,1
-0.4565561233938247,1.730619917406975,0
0.140430398289198,0.18216707545399302,1
0.09435531081577428,0.43118005937677845,1
-0.14372864290785972,0.076362679292687,0
0.05263082691021956,-0.2623840002752395,1
-0.07809393869908818,0.8011846141743941,0
0.5735409490369018,-2.409321099571609,1
0.1971656741750565,-0.669717582307185,1
0.07980129453893282,-0.4931603165815322,1
0.15623321626558118,-1.0239583992791201,1
-0.002976567761085456,0.45394088142619726,1
0.25096156999471114,-0.9213163159040568,1
0.29876647638447984,0.9447198271965286,1
0.061067540695633846,-0.76268782909437,1
0.2919640256325872,-0.37529628859959246,1
0.3332048648228291,-0.5878314403240791,1
0.09228911147047963,0.23135985416833374,1
0.026177297029735425,0.7819094296082116,1
0.23835771140355802,-0.11716578972687111,1
0.09856744839980357,0.11596786215475223,1
0.09155474516390877,0.15096106135455642,1
0.2954107446895191,-0.45979128098182126,1
0.027070337695646204,0.332964035991683,1
0.5021143363268717,-1.472072313391346,1
0.05685484180732129,0.7966778375550845,1
0.1801549497168113,0.8867168602250182,1
0.11825905439324788,-0.31865112838790016,1
0.5217004117522961,-0.875910776495909,1
-0.5680304983839558,2.043773479814195,0
-0.6079393489964838,1.7058055959852034,0
0.43202518392493666,-2.258889194386017,1
0.038633233594207735,0.48493680749181794,1
0.19103241599332352,-1.484925615920426,1
1.6911747152837309,-2.101800594160734,1
-0.4834400059075806,1.5254569907141944,0
-0.1140634121217208,1.1071346948940437,0
