PC1,PC2,PC3,cluster
-2.9298569312275817,0.11177415661501484,0.3647875286191764,0
-2.6219014302851975,-2.0162455631013505,-1.627955668523964,0
-2.4421025957322207,-3.7258933531951004,-3.340183709542132,0
-2.4377962715804466,-0.7100075883003196,0.7275624156196148,0
-1.8528141859309752,-2.1844702641665523,2.1490224998070366,0
-2.6635968764226443,-0.48957529992546245,1.1555655817899542,0
-2.8641875201148457,-0.3541934680140411,0.627091706554176,0
-2.548181813658005,-0.6733582235931699,1.2390390022158941,0
-2.3888766618238275,-3.3190625632102826,2.178937681203265,0
-2.4593290632649474,-2.0465093810149435,-1.6330113069961156,0
-2.1865871624522275,-1.0795324179729877,2.9550613581633414,0
-2.806364976186598,0.7526087875222177,0.9655901058467213,0
-2.5141646673793994,-1.9382464550013832,-1.179835946717348,0
-2.3995870665792878,0.6579557150301659,1.4493656641106305,0
-2.431525065943005,-2.4538374853406753,-1.439697260807528,0
-2.3184245209511536,-1.588792355367482,-0.08219551474149114,0
-2.493091326539351,0.6074307798509577,1.2343477913893655,0
-2.245663574954793,-0.8003246019034305,2.7676598637954193,0
-2.115257517806721,-1.3699898729037263,2.6485178234323388,0
-2.0369809430399055,-1.7004685486766713,1.2070446477151417,0
-2.067333605158623,-1.6439433473874523,2.4024813961519436,0
-2.935939616193469,-0.509650649017811,1.9517975743241331,0
-2.6956903879743104,-0.8415218184743881,0.019678539343646138,0
-1.8228306262781198,-2.6667741110272947,-1.2942109561387714,0
-1.8232159463733528,-2.7170862037954393,-2.078701065730065,0
-2.8231174273734956,-0.9939381906341735,-0.745937504193782,0
-2.6925576292170774,-0.16634767379001136,0.7703980511203714,0
-2.263428692379271,-0.9377158635004761,1.1122524973664236,0
-2.636068256576488,-2.394306897428456,-1.1817508950506128,0
-2.8411102304214375,-0.9413463856133023,-0.2140779743748661,0
-2.76931638957331,-0.9341746649696248,-0.7828633780382441,0
-2.7593733297807908,-0.9403323259181409,-0.903441577218413,0
-2.7231180705676787,-1.5275712533311794,-0.7971011528583578,0
-2.784400004677229,-1.2899826160786398,-1.3464401248463842,0
